Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
SAUDE-PME-10%-DESCONTO-20,inactive,28.0,2210,4167,1.13,Na média,31.76,1.88552036,28.0,1.13428571,27.0,1.22171946,1.02451613,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-11,inactive,30843.0,630927,4249955,0.48,–,14696.49,6.7360487,30843.0,0.47649353,28272.0,4.48102554,0.44591571,109.0,134.83018349,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-12,not_delivering,27560.0,606097,3799185,0.48,–,13155.42,6.26827884,27560.0,0.47733745,25280.0,4.17094953,0.44469526,99.0,132.8830303,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-13,inactive,6987.0,149678,692176,0.48,Na média,3337.71,4.62443378,6987.0,0.47770288,6856.0,4.58049947,0.45110285,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-14,inactive,2689.0,85443,314319,0.5,Na média,1333.47,3.67869808,2689.0,0.4958981,2651.0,3.10265323,0.46788421,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-15,not_delivering,3216.0,81172,442895,0.47,–,1516.6,5.45625339,3216.0,0.4715796,3056.0,3.76484502,0.4424154,9.0,168.51111111,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-16,inactive,905.0,20342,84778,0.48,Na média,438.25,4.16763347,905.0,0.48425414,890.0,4.37518435,0.45794148,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-17,inactive,160.0,4085,11480,0.39,–,62.95,2.81028152,160.0,0.3934375,157.0,3.84332925,0.37694611,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-18,not_delivering,67.0,1685,7875,0.37,–,24.47,4.6735905,67.0,0.36522388,57.0,3.38278932,0.40114754,1.0,24.47,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-19,inactive,1.0,38,68,0.33,–,0.33,1.78947368,1.0,0.33,1.0,2.63157895,0.33,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-20,inactive,,35,45,,–,0.2,1.28571429,,,,,,,,2023-06-01,2023-11-30
SAUDE-PME-15,inactive,117.0,57436,699019,100.31,–,11736.33,12.17039836,2178.0,5.38858127,1797.0,3.12869977,4.27708819,9.0,1304.03666667,2023-06-01,2023-11-30
SAUDE-PME-16,not_delivering,117.0,57436,699019,100.31,–,11736.33,12.17039836,2178.0,5.38858127,1797.0,3.12869977,4.27708819,9.0,1304.03666667,2023-06-01,2023-11-30
2023-AGOSTO-1,completed,1671683.0,1671683,5529820,5.41,–,9040.0,3.30793577,2288.0,3.95104895,2277.0,0.13621004,1.22642789,,,2023-06-01,2023-11-30
